tiempo, ax, ay, az,,,,
0,134,126,150,,,,
0.003133,135,127,153,,,,
0.009905,135,127,153,,,,
0.014157,135,126,148,,,,
0.019888,135,126,148,,,,
0.023259,135,126,151,,,,
0.030177,134,126,154,,,,
0.032984,134,127,152,,,,
0.04,133,127,151,,,,
0.042978,132,127,151,,,,
0.049997,132,127,151,,,,
0.052985,132,127,154,,,,
0.059991,132,126,154,,,,
0.062983,133,127,150,,,,
0.069992,134,127,149,,,,
0.072992,135,126,153,,,,
0.079987,135,127,154,,,,
0.082986,135,126,150,,,,
0.090274,135,126,147,,,,
0.092998,135,126,149,,,,
0.099992,134,125,154,,,,
0.102983,134,126,156,,,,
0.109992,132,126,150,,,,
0.112991,132,127,149,,,,
0.119992,132,126,152,,,,
0.122982,132,125,151,,,,
0.129992,132,125,150,,,,
0.132981,133,126,156,,,,
0.139992,134,125,154,,,,
0.142983,134,125,147,,,,
0.149986,135,124,149,,,,
0.153993,135,124,153,,,,
0.157992,134,125,152,,,,
0.164992,134,125,151,,,,
0.167985,134,124,152,,,,
0.174993,134,124,152,,,,
0.177991,133,125,152,,,,
0.184996,133,125,151,,,,
0.187987,133,124,156,,,,
0.194991,133,124,153,,,,
0.197977,133,123,149,,,,
0.204928,134,124,150,,,,
0.207993,135,125,155,,,,
0.214988,135,126,152,,,,
0.217991,135,125,148,,,,
0.224993,135,125,152,,,,
0.227985,134,126,152,,,,
0.234993,133,125,150,,,,
0.237993,133,125,153,,,,
0.244992,133,125,155,,,,
0.247992,133,125,150,,,,
0.254994,134,125,149,,,,
0.257996,134,125,150,,,,
0.264989,134,126,151,,,,
0.267992,134,126,153,,,,
0.274993,134,125,151,,,,
0.277992,134,125,149,,,,
0.284996,134,125,149,,,,
0.287986,134,124,151,,,,
0.294993,134,124,150,,,,
0.297983,134,125,154,,,,
0.304992,134,125,154,,,,
0.307986,134,125,149,,,,
0.314988,133,124,148,,,,
0.317992,133,124,154,,,,
0.324993,133,124,157,,,,
0.327987,133,124,152,,,,
0.335993,133,125,150,,,,
0.338982,134,124,151,,,,
0.345993,133,124,148,,,,
0.348992,134,125,152,,,,
0.355993,135,126,158,,,,
0.357984,134,126,153,,,,
0.364988,134,126,146,,,,
0.367991,133,125,146,,,,
0.376993,134,125,152,,,,
0.378982,134,126,152,,,,
0.382991,134,126,149,,,,
0.389992,134,127,151,,,,
0.392992,134,126,150,,,,
0.399928,133,126,147,,,,
0.402984,133,126,151,,,,
0.409993,134,127,155,,,,
0.412993,134,127,151,,,,
0.419992,134,127,148,,,,
0.422984,134,127,148,,,,
0.427991,134,127,150,,,,
0.434993,134,127,152,,,,
0.437994,134,126,149,,,,
0.444993,134,126,149,,,,
0.447927,133,125,149,,,,
0.456995,133,124,151,,,,
0.458983,134,124,155,,,,
0.462991,133,125,154,,,,
0.469993,133,125,151,,,,
0.472993,133,126,152,,,,
0.479991,132,124,151,,,,
0.482994,132,124,151,,,,
0.489986,132,124,152,,,,
0.492993,133,123,157,,,,
0.499929,133,124,155,,,,
0.502984,134,123,151,,,,
0.509993,135,123,154,,,,
0.512992,135,124,153,,,,
0.519993,135,124,150,,,,
0.522984,135,124,151,,,,
0.529995,134,125,151,,,,
0.532994,132,127,148,,,,
0.539999,131,127,149,,,,
0.542984,131,126,154,,,,
0.54999,131,125,154,,,,
0.552994,130,125,151,,,,
0.559995,131,124,154,,,,
0.562985,133,125,157,,,,
0.569995,134,125,152,,,,
0.572994,134,123,149,,,,
0.579995,135,123,150,,,,
0.58299,134,124,149,,,,
0.590103,134,124,152,,,,
0.592919,134,124,154,,,,
0.599913,133,123,148,,,,
0.602917,133,122,147,,,,
0.609924,132,121,150,,,,
0.612922,132,122,152,,,,
0.619922,132,122,154,,,,
0.622914,132,122,152,,,,
0.629923,133,122,147,,,,
0.632914,134,122,151,,,,
0.639923,134,122,153,,,,
0.642916,134,122,145,,,,
0.649918,135,123,149,,,,
0.652922,135,122,152,,,,
0.659925,134,122,146,,,,
0.662914,134,124,150,,,,
0.669922,134,122,154,,,,
0.672924,133,124,150,,,,
0.679922,133,124,148,,,,
0.682915,133,124,155,,,,
0.689923,132,123,150,,,,
0.692921,132,123,144,,,,
0.699932,132,124,154,,,,
0.702949,132,124,156,,,,
0.709953,131,125,147,,,,
0.712955,132,125,155,,,,
0.719953,133,124,158,,,,
0.722944,132,125,147,,,,
0.729935,133,126,150,,,,
0.732935,133,125,156,,,,
0.738026,132,125,151,,,,
0.745037,132,126,151,,,,
0.748046,132,126,159,,,,
0.755047,132,125,152,,,,
0.758044,132,126,151,,,,
0.765046,132,125,157,,,,
0.76804,132,125,154,,,,
0.775045,132,126,150,,,,
0.77804,132,125,152,,,,
0.785048,132,125,153,,,,
0.788039,132,125,151,,,,
0.795044,132,125,150,,,,
0.798046,133,125,154,,,,
0.805038,133,125,154,,,,
0.809046,133,126,152,,,,
0.816043,133,126,153,,,,
0.819036,133,125,152,,,,
0.826046,132,125,152,,,,
0.829045,132,126,152,,,,
0.835036,133,126,154,,,,
0.838042,133,125,153,,,,
0.845044,133,126,149,,,,
0.848038,134,126,151,,,,
0.855048,134,124,153,,,,
0.858046,134,124,148,,,,
0.865047,134,124,147,,,,
0.868041,134,124,152,,,,
0.875045,133,125,150,,,,
0.878044,132,125,152,,,,
0.885048,132,124,154,,,,
0.889048,132,124,152,,,,
0.893047,133,125,152,,,,
0.900043,134,125,152,,,,
0.903037,135,124,152,,,,
0.910047,135,125,150,,,,
0.913046,135,125,149,,,,
0.920047,135,125,151,,,,
0.923036,134,125,150,,,,
0.930046,133,125,150,,,,
0.933038,133,125,153,,,,
0.940047,133,125,153,,,,
0.943037,133,125,150,,,,
0.950041,134,124,151,,,,
0.953045,134,124,151,,,,
0.960045,133,125,149,,,,
0.963035,133,124,150,,,,
0.970045,134,123,152,,,,
0.973048,134,124,152,,,,
0.980044,134,124,150,,,,
0.983048,135,124,154,,,,
0.990051,134,124,151,,,,
0.993046,135,124,149,,,,
0.999047,135,123,150,,,,
1.003035,134,124,150,,,,
1.009044,134,124,151,,,,
1.013043,134,124,153,,,,
1.020046,133,124,152,,,,
1.023041,134,124,153,,,,
1.029048,134,124,149,,,,
1.032982,134,124,150,,,,
1.040048,134,124,151,,,,
1.043038,134,124,149,,,,
1.050042,134,125,149,,,,
1.053046,134,125,151,,,,
1.06005,134,124,152,,,,
1.06304,134,125,151,,,,
1.070051,134,124,151,,,,
1.073048,135,124,152,,,,
1.08005,134,125,149,,,,
1.082961,134,124,152,,,,
1.089054,135,124,154,,,,
1.093048,134,124,151,,,,
1.107045,134,124,149,,,,
1.111042,134,124,152,,,,
1.11199,134,123,152,,,,
1.114038,134,122,151,,,,
1.12405,134,122,152,,,,
1.12604,133,121,153,,,,
1.128049,133,120,154,,,,
1.135041,134,120,156,,,,
1.13805,134,120,156,,,,
1.14505,135,122,153,,,,
1.148044,137,121,152,,,,
1.154049,139,122,152,,,,
1.158047,139,123,148,,,,
1.164052,139,125,150,,,,
1.16805,137,125,152,,,,
1.175047,135,124,149,,,,
1.17805,133,123,151,,,,
1.185045,131,121,151,,,,
1.187917,131,122,154,,,,
1.195,132,122,158,,,,
1.19791,133,121,152,,,,
1.205007,135,121,151,,,,
1.208004,137,122,150,,,,
1.213998,139,122,148,,,,
1.217998,140,122,152,,,,
1.224003,140,122,150,,,,
1.228001,139,121,147,,,,
1.233997,137,122,147,,,,
1.239004,135,122,151,,,,
1.246001,134,123,154,,,,
1.248999,133,123,152,,,,
1.256,132,122,151,,,,
1.258991,133,122,151,,,,
1.263999,133,122,150,,,,
1.267999,134,122,153,,,,
1.274,135,122,156,,,,
1.278003,136,122,151,,,,
1.285002,137,121,147,,,,
1.288003,140,122,149,,,,
1.294003,141,121,150,,,,
1.298003,140,120,147,,,,
1.304004,137,120,144,,,,
1.307999,134,121,147,,,,
1.313994,132,123,152,,,,
1.317995,131,123,155,,,,
1.324001,131,125,159,,,,
1.328,132,124,154,,,,
1.334995,134,124,151,,,,
1.338001,136,125,148,,,,
1.344,137,124,151,,,,
1.348,138,124,151,,,,
1.353995,137,124,148,,,,
1.358,137,124,151,,,,
1.364001,136,125,150,,,,
1.367999,135,126,150,,,,
1.374,135,125,157,,,,
1.378,134,124,153,,,,
1.384999,134,124,150,,,,
1.388001,134,124,151,,,,
1.394001,134,124,152,,,,
1.397999,134,124,152,,,,
1.404,135,125,156,,,,
1.407999,136,124,155,,,,
1.413995,136,124,150,,,,
1.417994,137,125,149,,,,
1.425001,138,124,153,,,,
1.427994,137,125,154,,,,
1.434999,135,124,149,,,,
1.438001,135,124,152,,,,
1.444001,134,124,154,,,,
1.448,133,124,154,,,,
1.454,133,124,155,,,,
1.458,134,123,154,,,,
1.464007,134,124,152,,,,
1.468002,135,125,152,,,,
1.474001,136,124,154,,,,
1.478,136,124,153,,,,
1.483995,136,124,151,,,,
1.488006,135,124,150,,,,
1.494001,135,124,151,,,,
1.498002,135,125,153,,,,
1.504003,134,124,153,,,,
1.508001,134,125,153,,,,
1.513994,134,125,152,,,,
1.517995,134,126,152,,,,
1.524002,134,126,153,,,,
1.527999,134,126,152,,,,
1.534037,134,126,151,,,,
1.537988,133,125,151,,,,
1.546995,133,125,153,,,,
1.550001,132,125,151,,,,
1.554001,133,126,153,,,,
1.558001,134,125,153,,,,
1.564002,134,125,149,,,,
1.56801,135,125,150,,,,
1.574002,135,124,152,,,,
1.578001,135,123,151,,,,
1.584001,134,123,149,,,,
1.589007,134,122,153,,,,
1.596015,134,122,152,,,,
1.598996,134,123,150,,,,
1.606005,134,123,152,,,,
1.609003,135,122,152,,,,
1.613936,135,123,150,,,,
1.618053,135,123,149,,,,
1.624051,135,123,151,,,,
1.628045,135,123,151,,,,
1.634048,135,122,149,,,,
1.638052,135,123,151,,,,
1.644053,134,123,150,,,,
1.648051,135,123,152,,,,
1.654052,135,123,152,,,,
1.658051,135,124,149,,,,
1.664052,135,124,150,,,,
1.667962,135,123,152,,,,
1.674052,135,124,150,,,,
1.678055,134,124,150,,,,
1.68405,134,123,152,,,,
1.687961,134,123,150,,,,
1.694054,134,122,150,,,,
1.698051,135,122,153,,,,
1.704046,135,122,150,,,,
1.708003,135,122,150,,,,
1.713971,135,122,150,,,,
1.718063,135,122,150,,,,
1.724052,134,122,151,,,,
1.728056,134,123,153,,,,
1.734055,134,124,153,,,,
1.738053,134,125,153,,,,
1.744053,134,125,152,,,,
1.748051,134,124,152,,,,
1.754053,134,123,153,,,,
1.758051,134,124,151,,,,
1.764052,134,124,153,,,,
1.768077,134,124,153,,,,
1.774056,134,124,150,,,,
1.77805,134,124,151,,,,
1.78405,134,123,153,,,,
